Byte_Offset,XORed_ID,Usage Name
0x73fd0,0x5a,
0x73fd1,0x5a,
0x73fd2,0x73,ESCAPE
0x73fd3,0x5a,
0x73fd4,0x6f,Grave Accent and Tilde
0x73fd5,0x5a,
0x73fd6,0x4e,q and Q
0x73fd7,0x5a,
0x73fd8,0x44,1 and !
0x73fd9,0x5a,
0x73fda,0x5e,a and A
0x73fdb,0x5a,
0x73fdc,0x47,z and Z
0x73fdd,0x5a,
0x73fde,0xd1,International5
0x73fdf,0x5a,
0x73fe0,0x71,Tab
0x73fe1,0x5a,
0x73fe2,0x67,F4
0x73fe3,0x5a,
0x73fe4,0x61,F2
0x73fe5,0x5a,
0x73fe6,0x52,e and E
0x73fe7,0x5a,
0x73fe8,0x7a,3 and #
0x73fe9,0x5a,
0x73fea,0x5d,d and D
0x73feb,0x5a,
0x73fec,0x5c,c and C
0x73fed,0x5a,
0x73fee,0x5a,
0x73fef,0x5a,
0x73ff0,0x66,F3
0x73ff1,0x5a,
0x73ff2,0x3e,Non-US Slash Bar
0x73ff3,0x5a,
0x73ff4,0x60,F1
0x73ff5,0x5a,
0x73ff6,0x40,w and W
0x73ff7,0x5a,
0x73ff8,0x45,2 and @
0x73ff9,0x5a,
0x73ffa,0x4c,s and S
0x73ffb,0x5a,
0x73ffc,0x41,x and X
0x73ffd,0x5a,
0x73ffe,0x5a,
0x73fff,0x5a,
0x74000,0x63,Caps Lock
0x74001,0x5a,
0x74002,0x5a,
0x74003,0x5a,
0x74004,0xba,LeftControl
0x74005,0x5a,
0x74006,0x5a,
0x74007,0x5a,
0x74008,0x5a,
0x74009,0x5a,
0x7400a,0x5a,
0x7400b,0x5a,
0x7400c,0xbe,RightControl
0x7400d,0x5a,
0x7400e,0x5a,
0x7400f,0x5a,
0x74010,0x5a,
0x74011,0x5a,
0x74012,0x50,g and G
0x74013,0x5a,
0x74014,0x78,5 and %
0x74015,0x5a,
0x74016,0x4f,r and R
0x74017,0x5a,
0x74018,0x7b,4 and $
0x74019,0x5a,
0x7401a,0x53,f and F
0x7401b,0x5a,
0x7401c,0x43,v and V
0x7401d,0x5a,
0x7401e,0x5f,b and B
0x7401f,0x5a,
