ID,Usage Name,0B47190 (US),0B47208 (JIS),ISO
01,ErrorRollOver,,,
02,POSTFail,,,
03,ErrorUndefined,,,
04,a and A,a and A,a and A,a and A
05,b and B,b and B,b and B,b and B
06,c and C,c and C,c and C,c and C
07,d and D,d and D,d and D,d and D
08,e and E,e and E,e and E,e and E
09,f and F,f and F,f and F,f and F
0A,g and G,g and G,g and G,g and G
0B,h and H,h and H,h and H,h and H
0C,i and I,i and I,i and I,i and I
0D,j and J,j and J,j and J,j and J
0E,k and K,k and K,k and K,k and K
0F,l and L,l and L,l and L,l and L
10,m and M,m and M,m and M,m and M
11,n and N,n and N,n and N,n and N
12,o and O,o and O,o and O,o and O
13,p and P,p and P,p and P,p and P
14,q and Q,q and Q,q and Q,q and Q
15,r and R,r and R,r and R,r and R
16,s and S,s and S,s and S,s and S
17,t and T,t and T,t and T,t and T
18,u and U,u and U,u and U,u and U
19,v and V,v and V,v and V,v and V
1A,w and W,w and W,w and W,w and W
1B,x and X,x and X,x and X,x and X
1C,y and Y,y and Y,y and Y,y and Y
1D,z and Z,z and Z,z and Z,z and Z
1E,1 and !,1 and !,1 and !,1 and !
1F,2 and @,2 and @,2 and ",2 and @
20,3 and #,3 and #,3 and #,3 and £
21,4 and $,4 and $,4 and $,4 and $
22,5 and %,5 and %,5 and %,5 and %
23,6 and ^,6 and ^,6 and &,6 and ^
24,7 and &,7 and &,7 and ',7 and &
25,8 and *,8 and *,8 and (,8 and *
26,9 and (,9 and (,9 and ),9 and (
27,0 and ),0 and ),0,0 and )
28,Return (ENTER),Enter,Enter,Enter
29,ESCAPE,Escape,Escape,Escape
2A,DELETE (Backspace),Backspace,Backspace,Backspace
2B,Tab,Tab,Tab,Tab
2C,Spacebar,Spacebar,Spacebar,Spacebar
2D,- and Underscore,- and _,- and =,- and _
2E,= and +,= and +,^ and ~,= and +
2F,[ and {,[ and {,@ and `,[ and {
30,] and },] and },[ and {,] and }
31,\ and |,\ and |,,
32,Non-US # and ~,,] and },# and ~
33,; and :,; and :,; and +,; and :
34,"' and ""","' and """,: and *,' and @
35,Grave Accent and Tilde,` and ~,半角 / 全角,` and ¬
36,Comma and <,", and <",", and <",", and <"
37,. and >,. and >,. and >,. and >
38,/ and ?,/ and ?,/ and ?,/ and ?
39,Caps Lock,Caps Lock,英数 / Caps Lock,Caps Lock
3A,F1,F1,F1,F1
3B,F2,F2,F2,F2
3C,F3,F3,F3,F3
3D,F4,F4,F4,F4
3E,F5,F5,F5,F5
3F,F6,F6,F6,F6
40,F7,F7,F7,F7
41,F8,F8,F8,F8
42,F9,F9,F9,F9
43,F10,F10,F10,F10
44,F11,F11,F11,F11
45,F12,F12,F12,F12
46,PrintScreen,PrintScreen,PrintScreen,PrintScreen
47,Scroll Lock,Scroll Lock,Scroll Lock,Scroll Lock
48,Pause,Pause,Pause,Pause
49,Insert,Insert,Insert,Insert
4A,Home,Home,Home,Home
4B,PageUp,PgUp,PgUp,PgUp
4C,Delete Forward,Delete,Delete,Delete
4D,End,End,End,End
4E,PageDown,PgDn,PgDn,PgDn
4F,RightArrow,Right,Right,Right
50,LeftArrow,Left,Left,Left
51,DownArrow,Down,Down,Down
52,UpArrow,Up,Up,Up
53,Keypad Num Lock and Clear,Num Lock,Num Lock,Num Lock
54,Keypad Forward Slash,KP-/,KP-/,KP-/
55,Keypad *,KP-*,KP-*,KP-*
56,Keypad -,KP-—,KP-—,KP-—
57,Keypad +,KP-+,KP-+,KP-+
58,Keypad ENTER,KP-Enter,KP-Enter,KP-Enter
59,Keypad 1 and End,KP-1 and End,KP-1 and End,KP-1 and End
5A,Keypad 2 and Down Arrow,KP-2 and Down,KP-2 and Down,KP-2 and Down
5B,Keypad 3 and PageDn,KP-3 and PgDn,KP-3 and PgDn,KP-3 and PgDn
5C,Keypad 4 and Left Arrow,KP-4 and Left,KP-4 and Left,KP-4 and Left
5D,Keypad 5,KP-5,KP-5,KP-5
5E,Keypad 6 and Right Arrow,KP-6 and Right,KP-6 and Right,KP-6 and Right
5F,Keypad 7 and Home,KP-7 and Home,KP-7 and Home,KP-7 and Home
60,Keypad 8 and Up Arrow,KP-8 and Up,KP-8 and Up,KP-8 and Up
61,Keypad 9 and PageUp,KP-9 and PgUp,KP-9 and PgUp,KP-9 and PgUp
62,Keypad 0 and Insert,KP-0 and Insert,KP-0 and Insert,KP-0 and Insert
63,Keypad . and Delete,KP-. and Delete,KP-. and Delete,KP-. and Delete
64,Non-US Slash Bar,,,\ and |
65,Application,App,App,App
66,Power,Power,Power,Power
67,Keypad =,,,
68,F13,,,
69,F14,,,
6A,F15,,,
6B,F16,,,
6C,F17,,,
6D,F18,,,
6E,F19,,,
6F,F20,,,
70,F21,,,
71,F22,,,
72,F23,,,
73,F24,,,
74,Execute,,,
75,Help,,,
76,Menu,,,
77,Select,,,
78,Stop,,,
79,Again,,,
7A,Undo,,,
7B,Cut,,,
7C,Copy,,,
7D,Paste,,,
7E,Find,,,
