ID,usage_name,Address,XORed
00,No Event,,5A
01,ErrorRollOver,,5B
02,POSTFail,,58
03,ErrorUndefined,,59
04,a and A,73FDA,5E
05,b and B,7401E,5F
06,c and C,73FEC,5C
07,d and D,73FEA,5D
08,e and E,73FE6,52
09,f and F,7401A,53
0A,g and G,74012,50
0B,h and H,74022,51
0C,i and I,74036,56
0D,j and J,7402A,57
0E,k and K,7403A,54
0F,l and L,7404A,55
10,m and M,7402C,4A
11,n and N,7402E,4B
12,o and O,74046,48
13,p and P,74056,49
14,q and Q,73FD6,4E
15,r and R,74016,4F
16,s and S,73FFA,4C
17,t and T,74020,4D
18,u and U,74026,42
19,v and V,7401C,43
1A,w and W,73FF6,40
1B,x and X,73FFC,41
1C,y and Y,74030,46
1D,z and Z,73FDC,47
1E,1 and !,73FD8,44
1F,2 and @,73FF8,45
20,3 and #,73FE8,7A
21,4 and $,74018,7B
22,5 and %,74014,78
23,6 and ^,74024,79
24,7 and &,74028,7E
25,8 and *,74038,7F
26,9 and (,74048,7C
27,0 and ),74058,7D
28,Return (ENTER),7407C,72
29,ESCAPE,73FD2,73
2A,DELETE (Backspace),74080,70
2B,Tab,73FE0,71
2C,Spacebar,7407E,76
2D,- and Underscore,74054,77
2E,= and +,74034,74
2F,[ and {,74060,75
30,] and },74040,6A
31,\ and |,7407A,6B
32,Non-US # and ~,7405C,68
33,; and :,7405A,69
34,"' and """,74052,6E
35,Grave Accent and Tilde,73FD4,6F
36,Comma and <,7403C,6C
37,. and >,7404C,6D
38,/ and ?,7405E,62
39,Caps Lock,74000,63
3A,F1,73FF4,60
3B,F2,73FE4,61
3C,F3,73FF0,66
3D,F4,73FE2,67
3E,F5,74072,64
3F,F6,74032,65
40,F7,74050,1A
41,F8,74044,1B
42,F9,74074,18
43,F10,74078,19
44,F11,74088,1E
45,F12,740A8,1F
46,PrintScreen,740CA,1C
47,Scroll Lock,,1D
48,Pause,740BC,12
49,Insert,740C8,13
4A,Home,74084,10
4B,PageUp,740CC,11
4C,Delete Forward,740C4,16
4D,End,740B8,17
4E,PageDown,740CE,14
4F,RightArrow,740AE,15
50,LeftArrow,740BE,A
